Dataset,Year,Content,Emotions,Format,Size,Language,Paper,Access,License
`ESD <https://hltsingapore.github.io/ESD/>`_,2021,"29 hours, 3500 sentences, by 10 native English speakers and 10 native Chinese speakers.","5 emotions: angry, happy, neutral, sad, and surprise.","Audio,  Text",2.4 GB,"Chinese, English",`Seen And Unseen Emotional Style Transfer For Voice Conversion With A New Emotional Speech Dataset <https://arxiv.org/pdf/2010.14794.pdf>`_,Open,Academic License
`MuSe-CAR <https://zenodo.org/record/4134758>`_,2021,"40 hours, 6,000+ recordings of 25,000+ sentences by 70+ English speakers (see db link for details).","continuous emotion dimensions characterized using valence, arousal, and trustworthiness.","Audio, Video, Text",15 GB,English,"`The Multimodal Sentiment Analysis in Car Reviews (MuSe-CaR) Dataset: Collection, Insights and Improvements <https://arxiv.org/pdf/2101.06053.pdf>`_",Restricted,Academic License & Commercial License
`THAI SER <https://github.com/vistec-AI/dataset-releases/releases/tag/v1>`_,2021,"The recordings are 41 hours, 36 minutes long (27,854 utterances), and were performed by 200 professional actors (112 female, 88 male).","5 main emotions assigned to actors: Neutral, Anger, Happiness, Sadness, and Frustration.",Audio,12 GB,Thai,--,Open,`CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>`_
`French Emotional Speech Database - Oréau <https://zenodo.org/records/4405783#.Yqjq_9JBxph>`_,2020,79 utterances with 10 to 13 utterances pro emotion by 32 non-professional speakers.,"7 emotions: sadness, anger, disgust, fear, surprise, joy, neutral.",Audio,0.264 GB,French,--,Open,`CC BY 4.0 <https://creativecommons.org/licenses/by/4.0/>`_
`Att-HACK  <http://www.openslr.org/88/>`_,2020,"25 speakers interpreting 100 utterances in 4 social attitudes, with 3-5 repetitions each per attitude for a total of around 30 hours of speech.","expressive speech in French, 100 phrases with multiple versions (3 to 5) in four social attitudes (friendly, distant, dominant and seductive).",Audio,6.6 GB,French,`Att-HACK: An Expressive Speech Database with Social Attitudes <https://arxiv.org/abs/2004.04410>`_,Open,`CC BY-NC-ND 4.0 <https://creativecommons.org/licenses/by-nc-nd/4.0/>`_
`MSP-Podcast corpus <https://ecs.utdallas.edu/research/researchlabs/msp-lab/MSP-Podcast.html>`_,2020,100 hours by over 100 speakers (see db link for details).,"This corpus is annotated with emotional labels using attribute-based descriptors (activation, dominance and valence) and categorical labels (anger, happiness, sadness, disgust, surprised, fear, contempt, neutral and other).",Audio,13.4 GB,English,`The MSP-Conversation Corpus <http://www.interspeech2020.org/index.php?m=content&c=index&a=show&catid=290&id=684>`_,Restricted,Academic License & Commercial License
`BEASC <https://doi.org/10.6084/m9.figshare.12498033>`_,2020,Bangla Emotional Audio-Speech Corpus,"6 emotions provides Bangla spoken utterances for anger, happiness, sadness, fear, surprise, and neutral.",Audio,9 GB,Bangla,`BEASC: Bangla Emotional Audio-Speech Corpus - A Speech Emotion Recognition Corpus for the Low-Resource Bangla Language <https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:236649>`_,Open,`CC BY 4.0 <https://creativecommons.org/licenses/by/4.0/>`_
`emotiontts open db <https://github.com/emotiontts/emotiontts_open_db>`_,2020,Recordings and their associated transcriptions by a diverse group of speakers.,"4 emotions: general, joy, anger, and sadness.","Audio, Text",--,Korean,--,Partially open,`CC BY-NC-SA 4.0 <https://creativecommons.org/licenses/by-nc-sa/4.0/>`_
`URDU-Dataset <https://github.com/siddiquelatif/urdu-dataset>`_,2020,400 utterances by 38 speakers (27 male and 11 female).,"4 emotions: angry, happy, neutral, and sad.",Audio,0.072 GB,Urdu,`Cross Lingual Speech Emotion Recognition: Urdu vs. Western Languages <https://arxiv.org/pdf/1812.10411.pdf>`_,Open,--
`BAVED <https://www.kaggle.com/a13x10/basic-arabic-vocal-emotions-dataset>`_,2020,1935 recording by 61 speakers (45 male and 16 female).,3 levels of emotion.,Audio,0.195 GB,Arabic,--,Open,--
`VIVAE <https://zenodo.org/record/4066235>`_,2020,"non-speech, 1085 audio file by 11 speakers.","non-speech 6 emotions: achievement, anger, fear, pain, pleasure, and surprise with 3 emotional intensities (low, moderate, strong, peak).",Audio,0.0935 GB,Nonverbal (English),`The Variably Intense Vocalizations of Affect and Emotion (VIVAE) corpus prompts new perspective on nonspeech perception <http://dx.doi.org/10.1037/emo0001048>`_,Restricted,`CC BY-NC-SA 4.0 <https://creativecommons.org/licenses/by-nc-sa/4.0/>`_
`PMEmo <https://github.com/HuiZhangDB/PMEmo>`_,2019,"Dataset containing emotion annotations of 794 songs as well as the simultaneous electrodermal activity (EDA) signals. A Music Emotion Experiment was well-designed for collecting the affective-annotated music corpus of high quality, which recruited 457 subjects.","Valence, Arousal","Audio, EDA",1.3 GB,"Chinese, English",`The PMEmo Dataset for Music Emotion Recognition <https://dl.acm.org/doi/10.1145/3206025.3206037>`_,Open,`CC BY-SA 4.0 <https://huisblog.cn/PMEmo//>`_
`SEWA <https://db.sewaproject.eu/>`_,2019,more than 2000 minutes of audio-visual data of 398 people (201 male and 197 female) coming from 6 cultures.,emotions are characterized using valence and arousal.,"Audio, Video",--,"Chinese, English, German, Greek, Hungarian and Serbian",`SEWA DB: A Rich Database for Audio-Visual Emotion and Sentiment Research in the Wild <https://arxiv.org/pdf/1901.02839.pdf>`_,Restricted,`SEWA EULA <https://db.sewaproject.eu/media/doc/eula.pdf>`_
`MELD <https://affective-meld.github.io/>`_,2019,1400 dialogues and 14000 utterances from Friends TV series  by multiple speakers.,"7 emotions: Anger, disgust, sadness, joy, neutral, surprise and fear.  MELD also has sentiment (positive, negative and neutral) annotation  for each utterance.","Audio, Video, Text",10.1 GB,English,`MELD: A Multimodal Multi-Party Dataset for Emotion Recognition in Conversations <https://arxiv.org/pdf/1810.02508.pdf>`_,Open,`MELD: GPL-3.0 License <https://github.com/declare-lab/MELD/blob/master/LICENSE>`_
`ShEMO <https://github.com/mansourehk/ShEMO>`_,2019,"3000 semi-natural utterances, equivalent to 3 hours and 25 minutes of speech data from online radio plays by 87 native-Persian speakers.","6 emotions: anger, fear, happiness, sadness, neutral and surprise.",Audio,0.101 GB,Persian,`ShEMO: a large-scale validated database for Persian speech emotion detection <https://link.springer.com/article/10.1007/s10579-018-9427-x>`_,Open,--
`DEMoS <https://zenodo.org/record/2544829>`_,2019,"9365 emotional and 332 neutral samples produced by 68 native speakers (23 females, 45 males).","7/6 emotions: anger, sadness, happiness, fear, surprise, disgust, and the secondary emotion guilt.",Audio,2.5 GB,Italian,"`DEMoS: An Italian emotional speech corpus. Elicitation methods, machine learning, and perception <https://link.springer.com/epdf/10.1007/s10579-019-09450-y?author_access_token=5pf0w_D4k9z28TM6n4PbVPe4RwlQNchNByi7wbcMAY5hiA-aXzXNbZYfsMDDq2CdHD-w5ArAxIwlsk2nC_26pSyEAcu1xlKJ1c9m3JZj2ZlFmlVoCZUTcG3Hq2_2ozMLo3Hq3Y0CHzLdTxihQwch5Q%3D%3D>`_",Restricted,EULA: End User License Agreement
`AESDD <http://m3c.web.auth.gr/research/aesdd-speech-emotion-recognition/>`_,2018,around 500 utterances by a diverse group of actors (over 5 actors) siumlating various emotions.,"5 emotions: anger, disgust, fear, happiness, and sadness.",Audio,0.392 GB,Greek,`Speech Emotion Recognition for Performance Interaction <https://www.researchgate.net/publication/326005164_Speech_Emotion_Recognition_for_Performance_Interaction>`_,Open,--
`Emov-DB <https://mega.nz/#F!KBp32apT!gLIgyWf9iQ-yqnWFUFuUHg!mYwUnI4K>`_,2018,Recordings for 4 speakers- 2 males and 2 females.,"The emotional styles are neutral, sleepiness, anger, disgust and amused.",Audio,5.88 GB,English,`The emotional voices database: Towards controlling the emotion dimension in voice generation systems <https://arxiv.org/pdf/1806.09514.pdf>`_,Open,--
`RAVDESS <https://zenodo.org/record/1188976#.XrC7a5NKjOR>`_,2018,7356 recordings by 24 actors.,"7 emotions: calm, happy, sad, angry, fearful, surprise, and disgust","Audio, Video",24.8 GB,English,"`The Ryerson Audio-Visual Database of Emotional Speech and Song (RAVDESS): A dynamic, multimodal set of facial and vocal expressions in North American English <https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0196391>`_",Open,`CC BY-NC-SA 4.0 <https://creativecommons.org/licenses/by-nc-sa/4.0/>`_
`JL corpus <https://www.kaggle.com/tli725/jl-corpus>`_,2018,2400 recording of 240 sentences by 4 actors (2 males and 2 females).,"5 primary emotions: angry, sad, neutral, happy, excited. 5 secondary emotions: anxious, apologetic, pensive, worried, enthusiastic.",Audio,1.9 GB,English,`An Open Source Emotional Speech Corpus for Human Robot Interaction Applications <https://www.isca-speech.org/archive/Interspeech_2018/pdfs/1349.pdf>`_,Open,`CC0 1.0 <https://creativecommons.org/publicdomain/zero/1.0/>`_
`CaFE <https://zenodo.org/record/1478765>`_,2018,6 different sentences by 12 speakers (6 fmelaes + 6 males).,"7 emotions: happy, sad, angry, fearful, surprise, disgust and neutral. Each emotion is acted in 2 different intensities.",Audio,2 GB,French (Canadian),--,Open,`CC BY-NC-SA 4.0 <https://creativecommons.org/licenses/by-nc-sa/4.0/>`_
`EmoFilm <https://zenodo.org/record/1326428>`_,2018,1115 audio instances sentences extracted from various films.,"5 emotions: anger, contempt, happiness, fear, and sadness.",Audio,0.277 GB,"English, Italian, Spanish",`Categorical vs Dimensional Perception of Italian Emotional Speech <https://pdfs.semanticscholar.org/e70e/fcf7f5b4c366a7b7e2c16267d7f7691a5391.pdf>`_,Restricted,EULA: End User License Agreement
`ANAD <https://www.kaggle.com/suso172/arabic-natural-audio-dataset>`_,2018,1384 recording by multiple speakers.,"3 emotions: angry, happy, surprised.",Audio,2 GB,Arabic,`Arabic Natural Audio Dataset <https://data.mendeley.com/datasets/xm232yxf7t/1>`_,Open,`CC BY-NC-SA 4.0 <https://creativecommons.org/licenses/by-nc-sa/4.0/>`_
`EmoSynth <https://zenodo.org/record/3727593>`_,2018,144 audio file labelled by 40 listeners.,Emotion (no speech) defined in regard of valence and arousal.,Audio,0.1034 GB,--,`The Perceived Emotion of Isolated Synthetic Audio: The EmoSynth Dataset and Results <https://dl.acm.org/doi/10.1145/3243274.3243277>`_,Open,`CC BY 4.0 <https://creativecommons.org/licenses/by/4.0/>`_
`CMU-MOSEI <https://www.amir-zadeh.com/datasets>`_,2018,65 hours of annotated video from more than 1000 speakers and 250 topics.,"6 Emotion (happiness, sadness, anger,fear, disgust, surprise) + Likert scale.","Audio, Video",190.1 GB,English,`Multi-attention Recurrent Network for Human Communication Comprehension <https://arxiv.org/pdf/1802.00923.pdf>`_,Open,`CMU-MOSEI License <https://github.com/A2Zadeh/CMU-MultimodalSDK/blob/master/LICENSE.txt>`_
`VERBO <https://sites.google.com/view/verbodatabase/home>`_,2018,14 different phrases by 12 speakers (6 female + 6 male) for a total of 1167 recordings.,"7 emotions: Happiness, Disgust, Fear, Neutral, Anger, Surprise, Sadness",Audio,--,Portuguese,`VERBO: Voice Emotion Recognition dataBase in Portuguese Language <https://thescipub.com/pdf/jcssp.2018.1420.1430.pdf>`_,Restricted,Available for research purposes only
`CMU-MOSI <https://www.amir-zadeh.com/datasets>`_,2017,2199 opinion utterances with annotated sentiment.,Sentiment annotated between very negative to very positive in seven Likert steps.,"Audio, Video",4.3 GB,English,`Multi-attention Recurrent Network for Human Communication Comprehension <https://arxiv.org/pdf/1802.00923.pdf>`_,Open,`CMU-MOSI License <https://github.com/A2Zadeh/CMU-MultimodalSDK/blob/master/LICENSE.txt>`_
`MSP-IMPROV <https://ecs.utdallas.edu/research/researchlabs/msp-lab/MSP-Improv.html>`_,2017,20 sentences by 12 actors.,"4 emotions: angry, sad, happy, neutral, other, without agreement","Audio, Video",3.4 GB,English,`MSP-IMPROV: An Acted Corpus of Dyadic Interactions to Study Emotion Perception <https://ecs.utdallas.edu/research/researchlabs/msp-lab/publications/Busso_2017.pdf>`_,Restricted,Academic License & Commercial License
`CREMA-D <https://github.com/CheyneyComputerScience/CREMA-D>`_,2017,7442 clip of 12 sentences spoken by 91 actors (48 males and 43 females).,"6 emotions: angry, disgusted, fearful, happy, neutral, and sad","Audio, Video",0.607 GB,English,`CREMA-D: Crowd-sourced Emotional Multimodal Actors Dataset <https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4313618/>`_,Open,`Open Database License & Database Content License <https://github.com/CheyneyComputerScience/CREMA-D/blob/master/LICENSE.txt>`_
`Example emotion videos used in investigation of emotion perception in schizophrenia <https://espace.library.uq.edu.au/view/UQ:446541>`_,2017,"6 videos:Two example videos from each emotion category (angry, happy and neutral) by one female speaker.","3 emotions: angry, happy and neutral.","Audio, Video",0.063 GB,English,--,Open,`Permitted Non-commercial Re-use with Acknowledgment <https://guides.library.uq.edu.au/deposit_your_data/terms_and_conditions>`_
`EMOVO <http://voice.fub.it/activities/corpora/emovo/index.html>`_,2014,6 actors  who  played  14  sentences.,"6 emotions: disgust, fear, anger, joy, surprise, sadness.",Audio,0.355 GB,Italian,`EMOVO Corpus: an Italian Emotional Speech Database <https://core.ac.uk/download/pdf/53857389.pdf>`_,Open,--
`RECOLA <https://diuf.unifr.ch/main/diva/recola/download.html>`_,2013,3.8 hours of recordings by 46 participants.,negative and positive sentiment (valence and arousal).,"Audio, Video",--,--,`Introducing the RECOLA Multimodal Corpus of Remote Collaborative and Affective Interactions <https://drive.google.com/file/d/0B2V_I9XKBODhNENKUnZWNFdVXzQ/view>`_,Restricted,Academic License & Commercial License
`GEMEP corpus <https://www.unige.ch/cisa/gemep>`_,2012,Videos10 actors portraying 10 states.,"12 emotions: amusement, anxiety, cold anger (irritation), despair, hot anger (rage),  fear (panic), interest, joy (elation), pleasure(sensory), pride, relief, and sadness. Plus, 5 additional emotions: admiration, contempt, disgust, surprise, and tenderness.","Audio, Video",--,French,`Introducing the Geneva Multimodal Expression Corpus for Experimental Research on Emotion Perception <https://www.researchgate.net/publication/51796867_Introducing_the_Geneva_Multimodal_Expression_Corpus_for_Experimental_Research_on_Emotion_Perception>`_,Restricted,--
`OGVC <https://sites.google.com/site/ogcorpus/home/en>`_,2012,9114 spontaneous utterances and 2656 acted utterances by 4 professional actors (two male and two female).,"9 emotional states: fear, surprise, sadness, disgust, anger, anticipation, joy, acceptance and the neutral state.",Audio,5.3 GB,Japanese,`Naturalistic emotional speech collectionparadigm with online game and its psychological and acoustical assessment <https://www.jstage.jst.go.jp/article/ast/33/6/33_E1175/_pdf>`_,Restricted,--
`LEGO corpus <https://www.ultes.eu/ressources/lego-spoken-dialogue-corpus/>`_,2012,"347 dialogs with 9,083 system-user exchanges.","Emotions classified as garbage, non-angry, slightly angry and very angry.",Audio,1.1 GB,--,`A Parameterized and Annotated Spoken Dialog Corpus of the CMU Let’s Go Bus Information System <http://www.lrec-conf.org/proceedings/lrec2012/pdf/333_Paper.pdf>`_,Open,License available with the data. Free of charges for research purposes only.
`SEMAINE <https://semaine-db.eu/>`_,2012,95 dyadic conversations from 21 subjects. Each subject converses with another playing one of four characters with emotions.,"5 FeelTrace annotations: activation, valence, dominance, power, intensity","Audio, Video, Text",104 GB,English,`The SEMAINE Database: Annotated Multimodal Records of Emotionally Colored Conversations between a Person and a Limited Agent <https://ieeexplore.ieee.org/document/5959155>`_,Restricted,Academic EULA
`SAVEE <http://kahlan.eps.surrey.ac.uk/savee/Database.html>`_,2011,480 British English utterances by 4 males actors.,"7 emotions: anger, disgust, fear, happiness, sadness, surprise and neutral.","Audio, Video",--,English (British),`Multimodal Emotion Recognition <http://personal.ee.surrey.ac.uk/Personal/P.Jackson/pub/ma10/HaqJackson_MachineAudition10_approved.pdf>`_,Restricted,Free of charges for research purposes only.
`TESS <https://tspace.library.utoronto.ca/handle/1807/24487>`_,2010,2800 recording by 2 actresses.,"7 emotions: anger, disgust, fear, happiness, pleasant surprise, sadness, and neutral.",Audio,--,English,`BEHAVIOURAL FINDINGS FROM THE TORONTO EMOTIONAL SPEECH SET <https://www.semanticscholar.org/paper/BEHAVIOURAL-FINDINGS-FROM-THE-TORONTO-EMOTIONAL-SET-Dupuis-Pichora-Fuller/d7f746b3aee801a353b6929a65d9a34a68e71c6f/figure/2>`_,Open,`CC BY-NC-ND 4.0 <https://creativecommons.org/licenses/by-nc-nd/4.0/>`_
`EEKK <https://metashare.ut.ee/repository/download/4d42d7a8463411e2a6e4005056b40024a19021a316b54b7fb707757d43d1a889/>`_,2007,26 text passage read by 10 speakers.,"4 main emotions: joy, sadness, anger and neutral.",--,0.352 GB,Estonian,`Estonian Emotional Speech Corpus <https://www.researchgate.net/publication/261724574_Estonian_Emotional_Speech_Corpus_Release_1>`_,Open,`CC-BY license <https://metashare.ut.ee/repository/download/4d42d7a8463411e2a6e4005056b40024a19021a316b54b7fb707757d43d1a889/>`_
`IEMOCAP <https://sail.usc.edu/iemocap/iemocap_release.htm>`_,2007,12 hours of audiovisual data by 10 actors in 5 sessions.,"Full: neutral state; happiness; sadness; anger; surprise; fear; disgust; frustration; excited; other. Balance 5 emotions: happiness, anger, sadness, frustration and neutral. Three dimensions: valence, arousal, dominance","Audio, Video, Text",17.7 GB,English,`IEMOCAP: Interactive emotional dyadic motion capture database <https://sail.usc.edu/iemocap/Busso_2008_iemocap.pdf>`_,Restricted,`IEMOCAP license <https://sail.usc.edu/iemocap/Data_Release_Form_IEMOCAP.pdf>`_
`Keio-ESD <http://research.nii.ac.jp/src/en/Keio-ESD.html>`_,2006,A set of human speech with vocal emotion spoken by a Japanese male speaker.,"47 emotions including angry, joyful, disgusting, downgrading, funny,  worried, gentle, relief, indignation, shameful, etc.",Audio,0.0435 GB,Japanese,`EMOTIONAL SPEECH SYNTHESIS USING SUBSPACE CONSTRAINTS IN PROSODY <http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.420.8899&rep=rep1&type=pdf>`_,Restricted,Available for research purposes only.
`EMO-DB <http://emodb.bilderbar.info/index-1280.html>`_,2005,800 recording spoken by 10 actors (5 males and 5 females).,"7 emotions: anger, neutral, fear, boredom, happiness, sadness, disgust.",Audio,0.049 GB,German,`A Database of German Emotional Speech <http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.130.8506&rep=rep1&type=pdf>`_,Open,--
`eNTERFACE05 <http://www.enterface.net/enterface05/docs/results/databases/project2_database.zip>`_,2005,"Videos by 42 subjects, coming from 14 different nationalities.","6 emotions: anger, fear, surprise, happiness, sadness and disgust.","Audio, Video",0.8 GB,German,--,Open,Free of charges for research purposes only.
`DES <http://kom.aau.dk/~tb/speech/Emotions/>`_,2002,4 speakers (2 males and 2 females).,"5 emotions: neutral,  surprise,  happiness,  sadness  and  anger",--,--,Danish,`Documentation of the Danish Emotional Speech Database <http://kom.aau.dk/~tb/speech/Emotions/des.pdf>`_,--,--
